frame,model,checkpoint,n_frames,det_rate_at_conf,mean_top1_conf,median_top1_conf,weird_box_rate,high_conf_weird_rate,box_jump_rate,max_bad_streak,max_good_streak,mean_good_streak_len,num_good_streaks,mean_inference_latency_ms,p90_inference_latency_ms,promotion_score
500,active,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt,500.0,0.9900000095367432,0.7271111607551575,0.763069748878479,0.4620000123977661,0.20200000703334808,0.12800000607967377,122.0,78.0,11.857142857142858,21.0,11.329567432403564,11.865906715393066,0.39599999526143076
500,shadow,/home/hm25936/mae/odad/shadow_manager_full/checkpoints/shadow_frame_000500.pt,500.0,0.8379999995231628,0.658729076385498,0.7674853801727295,0.3919999897480011,0.03799999877810478,0.10199999809265137,118.0,121.0,13.19047619047619,21.0,11.31421177482605,11.841142654418945,0.4315000066906214
1000,active,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt,500.0,0.8899999856948853,0.6073698997497559,0.6880025863647461,0.8700000047683716,0.33799999952316284,0.09200000017881393,148.0,19.0,5.4,10.0,11.458483777999877,11.925753593444824,-0.06000001658499239
1000,shadow,/home/hm25936/mae/odad/shadow_manager_full/checkpoints/shadow_frame_001000.pt,500.0,0.3199999928474426,0.22677329182624817,0.15462878346443176,0.7599999904632568,0.0020000000949949026,0.14800000190734863,140.0,25.0,3.9411764705882355,17.0,11.419034929275513,11.873126029968262,-0.4270000038621947
1500,active,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt,500.0,0.8859999775886536,0.6249905824661255,0.6936479806900024,0.3179999887943268,0.012000000104308128,0.0860000029206276,87.0,94.0,16.736842105263158,19.0,11.218075733184815,11.717836380004883,0.5764999809488653
1500,shadow,/home/hm25936/mae/odad/shadow_manager_full/checkpoints/shadow_frame_001500.pt,500.0,0.8240000009536743,0.6838665008544922,0.8542096018791199,0.24199999868869781,0.004000000189989805,0.035999998450279236,36.0,97.0,19.555555555555557,18.0,11.218018152236938,11.709263801574707,0.699000002676621
2000,active,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt,500.0,0.9559999704360962,0.6363942623138428,0.6964446306228638,0.9300000071525574,0.328000009059906,0.10400000214576721,264.0,11.0,3.0,8.0,11.395111786842346,12.053948402404785,-0.2680000392794609
2000,shadow,/home/hm25936/mae/odad/shadow_manager_full/checkpoints/shadow_frame_002000.pt,500.0,0.41200000047683716,0.2762204110622406,0.19905045628547668,0.699999988079071,0.004000000189989805,0.18199999630451202,122.0,18.0,3.9473684210526314,19.0,11.31806503200531,11.880085945129395,-0.30249999088607726
2500,active,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt,500.0,0.8500000238418579,0.619139552116394,0.765996515750885,0.38999998569488525,0.052000001072883606,0.06400000303983688,81.0,118.0,15.052631578947368,19.0,12.294898040771484,12.947334289550781,0.5370000281780958
2500,shadow,/home/hm25936/mae/odad/shadow_manager_full/checkpoints/shadow_frame_002500.pt,500.0,0.7160000205039978,0.5529806017875671,0.6438290476799011,0.35600000619888306,0.006000000052154064,0.06800000369548798,81.0,118.0,18.375,16.0,12.352007963180542,12.994527816772461,0.4400000146068632
3000,active,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt,500.0,0.9919999837875366,0.7254019975662231,0.7686762809753418,0.9139999747276306,0.5320000052452087,0.12999999523162842,277.0,24.0,6.5,6.0,12.269640460968018,12.658323287963867,-0.3585000026226044
3000,shadow,/home/hm25936/mae/odad/shadow_manager_full/checkpoints/shadow_frame_003000.pt,500.0,0.6740000247955322,0.405766099691391,0.34199443459510803,0.8399999737739563,0.026000000536441803,0.09399999678134918,390.0,28.0,4.125,16.0,12.352073926925659,12.753174781799316,-0.5814999599456787
3500,active,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt,500.0,0.8339999914169312,0.564110517501831,0.5719645023345947,0.5299999713897705,0.06199999898672104,0.1120000034570694,81.0,115.0,11.666666666666666,18.0,12.611891387939453,13.159001350402832,0.4070000036358833
3500,shadow,/home/hm25936/mae/odad/shadow_manager_full/checkpoints/shadow_frame_003500.pt,500.0,0.5559999942779541,0.43024754524230957,0.3372545838356018,0.4560000002384186,0.0,0.10199999809265137,79.0,113.0,10.545454545454545,22.0,12.641989000320434,13.143574714660645,0.2064999955892563
4000,active,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt,500.0,0.9779999852180481,0.6491339206695557,0.6694297194480896,0.7039999961853027,0.23399999737739563,0.10599999874830246,279.0,24.0,5.6521739130434785,23.0,11.785826110839844,12.574268341064453,-0.10450001062452799
4000,shadow,/home/hm25936/mae/odad/shadow_manager_full/checkpoints/shadow_frame_004000.pt,500.0,0.550000011920929,0.4001334309577942,0.26849815249443054,0.593999981880188,0.0,0.18400000035762787,233.0,65.0,7.363636363636363,22.0,11.710995080947876,12.44698429107666,-0.28599997928738596
4500,active,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt,500.0,0.7580000162124634,0.5236963033676147,0.5445795655250549,0.6660000085830688,0.18199999630451202,0.12600000202655792,110.0,38.0,7.666666666666667,18.0,12.303365577697754,12.765596389770508,0.0575000122487545
4500,shadow,/home/hm25936/mae/odad/shadow_manager_full/checkpoints/shadow_frame_004500.pt,500.0,0.7020000219345093,0.4425581097602844,0.4383012354373932,0.6600000262260437,0.0,0.12200000137090683,110.0,38.0,7.611111111111111,18.0,12.327920459747315,12.823500633239746,0.09850000779330731
5000,active,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt,500.0,0.9800000190734863,0.7113565802574158,0.7596310377120972,0.5580000281333923,0.32600000500679016,0.09600000083446503,201.0,42.0,9.136363636363637,22.0,11.94547285270691,12.52843189239502,0.1060000018775463
5000,shadow,/home/hm25936/mae/odad/shadow_manager_full/checkpoints/shadow_frame_005000.pt,500.0,0.7440000176429749,0.5375339984893799,0.4931756854057312,0.42800000309944153,0.0,0.0820000022649765,81.0,111.0,12.095238095238095,21.0,11.906322814941406,12.429945945739746,0.41750001439452167
5500,active,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt,500.0,0.8100000023841858,0.49780863523483276,0.47920578718185425,0.8259999752044678,0.20600000023841858,0.1420000046491623,127.0,15.0,4.3125,16.0,12.328981740951537,12.943164825439453,-0.05149998882412911
5500,shadow,/home/hm25936/mae/odad/shadow_manager_full/checkpoints/shadow_frame_005500.pt,500.0,0.8100000023841858,0.49780863523483276,0.47920578718185425,0.8259999752044678,0.20600000023841858,0.1420000046491623,127.0,15.0,4.3125,16.0,12.424982582092285,12.998454093933105,-0.05149998882412911
6000,active,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt,500.0,0.9760000109672546,0.6613753437995911,0.7079896926879883,0.4180000126361847,0.08399999886751175,0.1120000034570694,135.0,104.0,9.413793103448276,29.0,12.00525057220459,12.994035720825195,0.47500000262260433
6000,shadow,/home/hm25936/mae/odad/shadow_manager_full/checkpoints/shadow_frame_006000.pt,500.0,0.8740000128746033,0.678764283657074,0.7499093413352966,0.27399998903274536,0.00800000037997961,0.10400000214576721,49.0,113.0,15.227272727272727,22.0,11.867752574920654,12.653449058532715,0.6700000165589154
6500,active,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt,500.0,0.8600000143051147,0.5794954299926758,0.674359917640686,0.8600000143051147,0.3700000047683716,0.10599999874830246,256.0,27.0,4.0,15.0,12.135615474700927,12.838786125183105,-0.31949999429285525
6500,shadow,/home/hm25936/mae/odad/shadow_manager_full/checkpoints/shadow_frame_006500.pt,500.0,0.8600000143051147,0.5794954299926758,0.674359917640686,0.8600000143051147,0.3700000047683716,0.10599999874830246,256.0,27.0,4.0,15.0,12.291037891387939,12.917388916015625,-0.31949999429285525
